date,weather,dealer_orders,dtc_orders,total_orders,purchase_orders_received,purchase_units_received,purchase_orders_created,purchase_units_ordered,total_on_hand_units,total_available_units,out_of_stock_skus,sales_orders,customer_count,booked_revenue,requested_units,fulfilled_units,backordered_units,fulfilled_revenue,service_level,backorder_rate
2022-01-01,Sunny,3,8,11,0,0,0,0,8367,8367,0,11,4,131709.72,33,33,0,131709.72,1.0,0.0
2022-01-02,Sunny,1,8,9,0,0,0,0,8350,8350,0,9,2,64715.8,17,17,0,64715.8,1.0,0.0
2022-01-03,Sunny,10,5,15,0,0,0,0,8255,8255,0,15,11,305960.18,95,95,0,305960.18,1.0,0.0
2022-01-04,Sunny,15,5,20,0,0,0,0,8117,8117,0,20,12,422756.31,138,138,0,422756.31,1.0,0.0
2022-01-05,Sunny,13,5,18,0,0,0,0,7992,7992,0,18,11,407945.95,125,125,0,407945.95,1.0,0.0
2022-01-06,Sunny,12,6,18,0,0,0,0,7905,7905,0,18,10,272321.32,87,87,0,272321.32,1.0,0.0
2022-01-07,Sunny,12,7,19,0,0,0,0,7781,7781,0,19,11,399960.79,124,124,0,399960.79,1.0,0.0
2022-01-08,Sunny,3,8,11,0,0,0,0,7754,7754,0,11,4,89629.9,27,27,0,89629.9,1.0,0.0
2022-01-09,Sunny,1,7,8,0,0,0,0,7742,7742,0,8,2,45664.1,12,12,0,45664.1,1.0,0.0
2022-01-10,Sunny,10,5,15,0,0,0,0,7647,7647,0,15,10,300276.77,95,95,0,300276.77,1.0,0.0
2022-01-11,Sunny,13,5,18,0,0,4,245,7527,7527,0,18,12,358931.26,120,120,0,358931.26,1.0,0.0
2022-01-12,Sunny,12,6,18,0,0,1,62,7413,7413,0,18,12,358956.42,114,114,0,358956.42,1.0,0.0
2022-01-13,Sunny,10,6,16,0,0,0,0,7334,7334,0,16,9,250079.13999999998,79,79,0,250079.14,1.0,0.0
2022-01-14,Sunny,11,7,18,0,0,1,62,7216,7216,0,18,11,370085.28,118,118,0,370085.27999999997,1.0,0.0
2022-01-15,Sunny,3,8,11,0,0,3,182,7179,7179,0,11,4,136340.02000000002,37,37,0,136340.02,1.0,0.0
2022-01-16,Sunny,1,7,8,0,0,1,61,7155,7155,0,8,2,81621.88,24,24,0,81621.88,1.0,0.0
2022-01-17,Sunny,12,6,18,0,0,1,60,7062,7062,0,18,12,303455.28,93,93,0,303455.28,1.0,0.0
2022-01-18,Sunny,10,4,14,0,0,6,368,6975,6975,0,14,10,255994.40999999997,87,87,0,255994.41,1.0,0.0
2022-01-19,Sunny,10,6,16,0,0,3,186,6885,6885,0,16,11,290757.92,90,90,0,290757.92,1.0,0.0
2022-01-20,Sunny,10,6,16,0,0,2,123,6790,6790,0,16,8,301610.18,95,95,0,301610.18,1.0,0.0
2022-01-21,Sunny,9,6,15,0,0,2,121,6710,6710,0,15,9,271844.58,80,80,0,271844.58,1.0,0.0
2022-01-22,Sunny,3,8,11,0,0,2,122,6664,6664,0,11,4,174763.16999999998,46,46,0,174763.16999999998,1.0,0.0
2022-01-23,Sunny,1,7,8,0,0,1,63,6641,6641,0,8,2,99401.9,23,23,0,99401.9,1.0,0.0
2022-01-24,Sunny,9,5,14,0,0,0,0,6551,6551,0,14,9,293846.17,90,90,0,293846.17,1.0,0.0
2022-01-25,Sunny,11,5,16,0,0,4,243,6450,6450,0,16,11,303832.27999999997,101,101,0,303832.28,1.0,0.0
2022-01-26,Sunny,11,6,17,0,0,1,63,6349,6349,3,17,11,335854.93,101,101,0,335854.93,1.0,0.0
2022-01-27,Sunny,11,6,17,0,0,2,121,6271,6271,4,17,12,267635.63,86,78,8,245000.39,0.9069767441860465,0.09302325581395349
2022-01-28,Sunny,9,7,16,0,0,2,124,6183,6183,4,16,9,270602.28,89,88,1,266003.28,0.9887640449438202,0.011235955056179775
2022-01-29,Sunny,3,9,12,0,0,1,60,6144,6144,5,12,4,146589.5,40,39,1,141990.5,0.975,0.025
2022-01-30,Sunny,1,8,9,0,0,2,120,6130,6130,5,9,2,53852.28,14,14,0,53852.28,1.0,0.0
2022-01-31,Sunny,12,5,17,0,0,1,60,6043,6043,6,17,11,279078.13,94,87,7,257588.56,0.925531914893617,0.07446808510638298
2022-02-01,Sunny,12,6,18,0,0,3,184,5943,5943,6,18,11,377010.69,115,100,15,333491.91,0.8695652173913043,0.13043478260869565
2022-02-02,Sunny,14,7,21,0,0,1,61,5870,5870,9,21,13,259414.28,84,73,11,223385.54,0.8690476190476191,0.13095238095238096
2022-02-03,Sunny,13,6,19,0,0,2,125,5778,5778,13,19,12,344429.83,114,92,22,278715.73,0.8070175438596491,0.19298245614035087
2022-02-04,Sunny,12,8,20,0,0,3,183,5672,5672,15,20,12,398055.48,124,106,18,340979.07,0.8548387096774194,0.14516129032258066
2022-02-05,Sunny,4,11,15,0,0,1,61,5628,5628,16,15,5,186810.11,60,44,16,134976.56,0.7333333333333333,0.26666666666666666
2022-02-06,Sunny,1,9,10,0,0,0,0,5607,5607,16,10,2,99405.5,23,21,2,89607.5,0.9130434782608695,0.08695652173913043
2022-02-07,Sunny,12,6,18,0,0,2,120,5520,5520,16,18,11,355437.15,112,87,25,275054.72,0.7767857142857143,0.22321428571428573
2022-02-08,Sunny,14,6,20,0,0,2,124,5436,5436,18,20,10,351349.75,120,84,36,236880.33000000002,0.7,0.3
2022-02-09,Sunny,15,6,21,0,0,1,60,5338,5338,21,21,14,416521.64,131,98,33,312181.02999999997,0.7480916030534351,0.25190839694656486
2022-02-10,Sunny,12,7,19,0,0,2,122,5259,5259,23,19,9,401537.54,126,79,47,257043.56,0.626984126984127,0.373015873015873
2022-02-11,Sunny,10,8,18,0,0,2,120,5219,5219,23,18,11,270574.79,84,40,44,130217.55,0.47619047619047616,0.5238095238095238
2022-02-12,Sunny,4,10,14,0,0,0,0,5188,5188,23,14,5,144440.16999999998,41,31,10,110309.38,0.7560975609756098,0.24390243902439024
2022-02-13,Sunny,1,8,9,0,0,0,0,5175,5175,26,9,2,81525.94,21,13,8,52367.659999999996,0.6190476190476191,0.38095238095238093
2022-02-14,Sunny,13,6,19,0,0,1,60,5111,5111,26,19,12,335047.17,106,64,42,194915.13,0.6037735849056604,0.39622641509433965
2022-02-15,Sunny,13,7,20,0,0,5,311,5021,5021,26,20,12,427213.8,134,90,44,284053.94,0.6716417910447762,0.3283582089552239
2022-02-16,Sunny,14,6,20,0,0,7,431,4936,4936,28,20,11,364535.77,126,85,41,242485.35,0.6746031746031746,0.3253968253968254
2022-02-17,Sunny,13,7,20,0,0,1,60,4860,4860,30,20,12,441021.49,132,76,56,251118.68,0.5757575757575758,0.42424242424242425
2022-02-18,Sunny,10,8,18,0,0,2,120,4803,4803,31,18,10,302843.26,100,57,43,164679.62,0.57,0.43
2022-02-19,Sunny,3,9,12,0,0,2,121,4783,4783,33,12,4,114050.6,33,20,13,64499.56,0.6060606060606061,0.3939393939393939
2022-02-20,Sunny,1,8,9,0,0,1,60,4774,4774,33,9,2,65269.28,17,9,8,33379.76,0.5294117647058824,0.47058823529411764
2022-02-21,Sunny,12,6,18,0,0,4,244,4717,4717,33,18,13,367601.69,111,57,54,195302.38999999998,0.5135135135135135,0.4864864864864865
2022-02-22,Sunny,16,6,22,0,0,0,0,4613,4613,35,22,12,474903.84,158,104,54,296558.66,0.6582278481012658,0.34177215189873417
2022-02-23,Sunny,15,7,22,0,0,4,241,4524,4524,36,22,11,456069.12,144,89,55,279496.65,0.6180555555555556,0.3819444444444444
2022-02-24,Sunny,13,7,20,0,0,2,120,4455,4455,39,20,13,379130.42,122,69,53,200851.96,0.5655737704918032,0.4344262295081967
2022-02-25,Sunny,11,10,21,0,0,0,0,4395,4395,40,21,11,308165.4,105,60,45,166260.15,0.5714285714285714,0.42857142857142855
2022-02-26,Sunny,3,10,13,0,0,2,120,4375,4375,41,13,4,146402.22999999998,39,20,19,89002.81,0.5128205128205128,0.48717948717948717
2022-02-27,Sunny,1,7,8,0,0,0,0,4371,4371,41,8,2,66216.5,17,4,13,15557.05,0.23529411764705882,0.7647058823529411
2022-02-28,Sunny,14,6,20,0,0,1,60,4307,4307,42,20,12,398315.68,131,64,67,179770.61000000002,0.48854961832061067,0.5114503816793893
2022-03-01,Sunny,21,9,30,0,0,5,314,4199,4199,44,30,14,697081.81,225,108,117,317359.23,0.48,0.52
2022-03-02,Sunny,19,8,27,0,0,1,61,4124,4124,45,27,18,488695.29,160,75,85,217419.04,0.46875,0.53125
2022-03-03,Sunny,20,8,28,0,0,4,247,4043,4043,47,28,15,582583.1799999999,193,81,112,246473.05,0.41968911917098445,0.5803108808290155
2022-03-04,Sunny,18,11,29,0,0,2,126,3944,3944,49,29,15,660765.6,209,99,110,308223.38,0.47368421052631576,0.5263157894736842
2022-03-05,Sunny,5,14,19,0,0,0,0,3915,3915,50,19,5,223062.4,65,29,36,104931.63,0.4461538461538462,0.5538461538461539
2022-03-06,Sunny,2,13,15,0,0,0,0,3900,3900,51,15,3,104339.08,29,15,14,56586.04,0.5172413793103449,0.4827586206896552
2022-03-07,Sunny,16,8,24,4,245,4,245,4051,4051,49,24,13,559858.62,176,94,82,294268.23,0.5340909090909091,0.4659090909090909
2022-03-08,Sunny,22,7,29,1,62,4,245,3989,3989,51,29,17,739453.75,239,124,115,388614.88,0.5188284518828452,0.4811715481171548
2022-03-09,Sunny,18,9,27,0,0,2,122,3899,3899,52,27,16,554018.02,180,90,90,266887.1,0.5,0.5
2022-03-10,Sunny,21,10,31,1,62,1,60,3906,3906,53,31,19,506526.83999999997,166,55,111,166744.28,0.3313253012048193,0.6686746987951807
2022-03-11,Sunny,15,11,26,3,182,1,62,4023,4023,52,26,13,495638.27,153,65,88,213196.89,0.42483660130718953,0.5751633986928104
