product_id,sku,model_name,category,size,color,average_on_hand,average_available,minimum_available,maximum_available,ending_on_hand,ending_available,snapshot_days,stockout_days,stockout_rate
1106,SON-ROM-C-M-GR,Romero,Aggressive Trail,M,Granite,22.79192334017796,22.79192334017796,0,66,56,56,1461,416,0.28473648186173856
1074,SON-SAB-C-M-SG,Sabino,Trail,M,Saguaro,22.94592744695414,22.94592744695414,0,68,47,47,1461,416,0.28473648186173856
1073,SON-SAB-C-M-IR,Sabino,Trail,M,Ironwood,22.021902806297057,22.021902806297057,0,70,5,5,1461,413,0.28268309377138945
1103,SON-ROM-C-M-IR,Romero,Aggressive Trail,M,Ironwood,23.096509240246405,23.096509240246405,0,72,60,60,1461,405,0.27720739219712526
1076,SON-SAB-C-M-GR,Sabino,Trail,M,Granite,22.65845311430527,22.65845311430527,0,68,35,35,1461,403,0.2758384668035592
1077,SON-SAB-C-M-CY,Sabino,Trail,M,Coyote,21.83025325119781,21.83025325119781,0,65,53,53,1461,399,0.2731006160164271
1075,SON-SAB-C-M-SS,Sabino,Trail,M,Sunset,23.00273785078713,23.00273785078713,0,66,49,49,1461,397,0.27173169062286107
1107,SON-ROM-C-M-CY,Romero,Aggressive Trail,M,Coyote,23.480492813141684,23.480492813141684,0,67,22,22,1461,388,0.2655715263518138
1105,SON-ROM-C-M-SS,Romero,Aggressive Trail,M,Sunset,23.121149897330596,23.121149897330596,0,64,58,58,1461,385,0.26351813826146475
1104,SON-ROM-C-M-SG,Romero,Aggressive Trail,M,Saguaro,23.449007529089666,23.449007529089666,0,67,0,0,1461,373,0.25530458590006844
1078,SON-SAB-C-M-SK,Sabino,Trail,M,Sky,22.313483915126625,22.313483915126625,0,66,3,3,1461,371,0.2539356605065024
1108,SON-ROM-C-M-SK,Romero,Aggressive Trail,M,Sky,24.27378507871321,24.27378507871321,0,67,43,43,1461,356,0.243668720054757
1083,SON-SAB-C-L-CY,Sabino,Trail,L,Coyote,24.4435318275154,24.4435318275154,0,72,38,38,1461,348,0.23819301848049282
1114,SON-ROM-C-L-SK,Romero,Aggressive Trail,L,Sky,24.889801505817932,24.889801505817932,0,67,0,0,1461,347,0.2375085557837098
1081,SON-SAB-C-L-SS,Sabino,Trail,L,Sunset,24.422313483915126,24.422313483915126,0,66,26,26,1461,338,0.23134839151266257
1080,SON-SAB-C-L-SG,Sabino,Trail,L,Saguaro,24.9596167008898,24.9596167008898,0,70,39,39,1461,335,0.2292950034223135
1110,SON-ROM-C-L-SG,Romero,Aggressive Trail,L,Saguaro,24.7419575633128,24.7419575633128,0,66,48,48,1461,332,0.2272416153319644
1084,SON-SAB-C-L-SK,Sabino,Trail,L,Sky,24.041067761806982,24.041067761806982,0,66,41,41,1461,327,0.22381930184804927
1079,SON-SAB-C-L-IR,Sabino,Trail,L,Ironwood,24.616700889801507,24.616700889801507,0,66,41,41,1461,326,0.22313483915126625
1082,SON-SAB-C-L-GR,Sabino,Trail,L,Granite,24.99110198494182,24.99110198494182,0,68,33,33,1461,323,0.22108145106091717
1112,SON-ROM-C-L-GR,Romero,Aggressive Trail,L,Granite,24.98904859685147,24.98904859685147,0,68,59,59,1461,307,0.21013004791238876
1111,SON-ROM-C-L-SS,Romero,Aggressive Trail,L,Sunset,24.93223819301848,24.93223819301848,0,64,0,0,1461,306,0.20944558521560575
1109,SON-ROM-C-L-IR,Romero,Aggressive Trail,L,Ironwood,24.926762491444215,24.926762491444215,0,67,41,41,1461,301,0.20602327173169063
1113,SON-ROM-C-L-CY,Romero,Aggressive Trail,L,Coyote,24.89322381930185,24.89322381930185,0,71,9,9,1461,282,0.19301848049281314
1018,SON-CAT-C-M-SK,Catalina,Cross Country,M,Sky,26.634496919917865,26.634496919917865,0,67,29,29,1461,275,0.18822724161533197
1014,SON-CAT-C-M-SG,Catalina,Cross Country,M,Saguaro,26.034907597535934,26.034907597535934,0,69,18,18,1461,265,0.18138261464750172
1019,SON-CAT-C-L-IR,Catalina,Cross Country,L,Ironwood,28.420260095824776,28.420260095824776,0,70,39,39,1461,258,0.17659137577002054
1017,SON-CAT-C-M-CY,Catalina,Cross Country,M,Coyote,25.680355920602327,25.680355920602327,0,64,45,45,1461,257,0.1759069130732375
1015,SON-CAT-C-M-SS,Catalina,Cross Country,M,Sunset,25.724845995893222,25.724845995893222,0,67,0,0,1461,243,0.16632443531827515
1138,SON-ORA-C-M-SK,Oracle,Enduro,M,Sky,26.611909650924023,26.611909650924023,0,69,64,64,1461,240,0.16427104722792607
1016,SON-CAT-C-M-GR,Catalina,Cross Country,M,Granite,27.01095140314853,27.01095140314853,0,66,7,7,1461,237,0.162217659137577
1013,SON-CAT-C-M-IR,Catalina,Cross Country,M,Ironwood,27.11567419575633,27.11567419575633,0,71,10,10,1461,234,0.1601642710472279
1136,SON-ORA-C-M-GR,Oracle,Enduro,M,Granite,27.199863107460644,27.199863107460644,0,68,55,55,1461,218,0.14921286789869953
