date,weather,dealer_orders,dtc_orders,total_orders,purchase_orders_received,purchase_units_received,purchase_orders_created,purchase_units_ordered,total_on_hand_units,total_available_units,out_of_stock_skus
2022-01-01,Sunny,3,7,10,0,0,0,0,8363,8363,0
2022-01-02,Sunny,1,7,8,0,0,0,0,8351,8351,0
2022-01-03,Sunny,13,5,18,0,0,0,0,8225,8225,0
2022-01-04,Sunny,14,5,19,0,0,0,0,8092,8092,0
2022-01-05,Sunny,11,6,17,0,0,0,0,8001,8001,0
2022-01-06,Sunny,11,5,16,0,0,0,0,7921,7921,0
2022-01-07,Sunny,9,7,16,0,0,0,0,7827,7827,0
2022-01-08,Sunny,4,7,11,0,0,1,60,7772,7772,0
2022-01-09,Sunny,1,8,9,0,0,0,0,7751,7751,0
2022-01-10,Sunny,11,5,16,0,0,0,0,7660,7660,0
2022-01-11,Sunny,13,5,18,0,0,1,60,7544,7544,0
2022-01-12,Sunny,12,5,17,0,0,1,60,7416,7416,0
2022-01-13,Sunny,11,6,17,0,0,6,365,7331,7331,0
2022-01-14,Sunny,10,7,17,0,0,2,121,7237,7237,0
2022-01-15,Sunny,3,9,12,0,0,0,0,7198,7198,0
2022-01-16,Sunny,1,7,8,0,0,0,0,7179,7179,0
2022-01-17,Sunny,10,6,16,0,0,2,121,7091,7091,0
2022-01-18,Sunny,13,6,19,0,0,3,183,6981,6981,0
2022-01-19,Sunny,14,6,20,0,0,3,188,6853,6853,0
2022-01-20,Sunny,11,5,16,0,0,4,249,6767,6767,0
2022-01-21,Sunny,11,7,18,0,0,5,302,6640,6640,0
2022-01-22,Sunny,3,7,10,0,0,1,60,6599,6599,0
2022-01-23,Sunny,1,7,8,0,0,0,0,6589,6589,0
2022-01-24,Sunny,11,5,16,0,0,4,241,6492,6492,0
2022-01-25,Sunny,13,6,19,0,0,3,184,6351,6351,2
2022-01-26,Sunny,10,5,15,0,0,0,0,6247,6247,2
2022-01-27,Sunny,12,6,18,0,0,3,186,6141,6141,3
2022-01-28,Sunny,10,7,17,0,0,4,249,6037,6037,4
2022-01-29,Sunny,3,8,11,1,60,0,0,6065,6065,4
2022-01-30,Sunny,1,7,8,0,0,0,0,6053,6053,4
2022-01-31,Sunny,13,6,19,0,0,3,182,5935,5935,7
2022-02-01,Sunny,13,5,18,1,60,4,243,5887,5887,9
2022-02-02,Sunny,15,7,22,1,60,5,310,5847,5847,11
2022-02-03,Sunny,14,7,21,6,365,4,240,6095,6095,9
2022-02-04,Sunny,12,8,20,2,121,2,124,6105,6105,8
2022-02-05,Sunny,4,10,14,0,0,1,60,6071,6071,9
2022-02-06,Sunny,1,9,10,0,0,1,61,6050,6050,9
2022-02-07,Sunny,14,7,21,2,121,0,0,6047,6047,8
2022-02-08,Sunny,15,6,21,3,183,1,61,6085,6085,9
2022-02-09,Sunny,14,6,20,3,188,2,123,6157,6157,9
2022-02-10,Sunny,12,7,19,4,249,4,245,6290,6290,7
2022-02-11,Sunny,12,6,18,4,242,1,60,6424,6424,5
2022-02-12,Sunny,3,9,12,0,0,1,60,6382,6382,5
2022-02-13,Sunny,1,9,10,0,0,0,0,6363,6363,7
2022-02-14,Sunny,13,7,20,4,241,2,121,6487,6487,5
2022-02-15,Sunny,14,6,20,3,184,5,309,6558,6558,4
2022-02-16,Sunny,15,7,22,0,0,3,184,6389,6389,6
2022-02-17,Sunny,14,7,21,1,64,3,183,6316,6316,8
2022-02-18,Sunny,15,8,23,4,249,1,61,6452,6452,4
2022-02-19,Sunny,4,10,14,0,0,2,123,6411,6411,5
2022-02-20,Sunny,1,9,10,1,60,0,0,6448,6448,4
2022-02-21,Sunny,14,7,21,3,182,0,0,6524,6524,2
2022-02-22,Sunny,14,7,21,3,182,3,182,6584,6584,5
2022-02-23,Sunny,14,6,20,2,124,1,63,6569,6569,4
2022-02-24,Sunny,12,7,19,3,180,3,181,6634,6634,3
2022-02-25,Sunny,11,7,18,0,0,0,0,6535,6535,4
2022-02-26,Sunny,4,10,14,3,182,1,60,6663,6663,4
2022-02-27,Sunny,1,9,10,1,61,0,0,6712,6712,4
2022-02-28,Sunny,13,7,20,0,0,5,303,6605,6605,4
2022-03-01,Sunny,20,9,29,0,0,7,429,6442,6442,4
2022-03-02,Sunny,20,9,29,3,183,2,122,6437,6437,6
2022-03-03,Sunny,16,10,26,4,245,4,245,6535,6535,6
2022-03-04,Sunny,13,12,25,3,186,5,303,6592,6592,4
2022-03-05,Sunny,5,15,20,2,120,1,60,6645,6645,3
2022-03-06,Sunny,1,12,13,2,124,1,61,6742,6742,2
2022-03-07,Sunny,19,8,27,2,121,6,371,6693,6693,3
2022-03-08,Sunny,19,7,26,4,247,7,433,6774,6774,4
2022-03-09,Sunny,17,9,26,1,62,2,123,6695,6695,4
2022-03-10,Sunny,17,9,26,3,184,0,0,6740,6740,4
2022-03-11,Sunny,16,9,25,0,0,1,63,6591,6591,5
2022-03-12,Sunny,5,14,19,3,184,0,0,6718,6718,5
