forecast_month,product_id,model_name,category,lookback_months,forecast_qty,actual_qty,forecast_error,absolute_error,absolute_percentage_error,seasonality_adjustment
2022-04-01,1001,Catalina,Cross Country,3,3,14,11,11,0.7857142857142857,1.714
2022-05-01,1001,Catalina,Cross Country,3,8,5,-3,3,0.6,1.473
2022-06-01,1001,Catalina,Cross Country,3,8,14,6,6,0.42857142857142855,1.13
2022-07-01,1001,Catalina,Cross Country,3,10,1,-9,9,9.0,0.896
2022-08-01,1001,Catalina,Cross Country,3,5,7,2,2,0.2857142857142857,0.789
2022-09-01,1001,Catalina,Cross Country,3,6,10,4,4,0.4,0.783
2022-10-01,1001,Catalina,Cross Country,3,4,5,1,1,0.2,0.738
2022-11-01,1001,Catalina,Cross Country,3,7,2,-5,5,2.5,0.906
2022-12-01,1001,Catalina,Cross Country,3,4,4,0,0,0.0,0.735
2023-01-01,1001,Catalina,Cross Country,3,3,1,-2,2,2.0,0.767
2023-02-01,1001,Catalina,Cross Country,3,2,0,-2,2,,1.0
2023-03-01,1001,Catalina,Cross Country,3,2,10,8,8,0.8,1.5
2023-04-01,1001,Catalina,Cross Country,3,6,6,0,0,0.0,1.714
2023-05-01,1001,Catalina,Cross Country,3,8,5,-3,3,0.6,1.473
2023-06-01,1001,Catalina,Cross Country,3,8,7,-1,1,0.14285714285714285,1.13
2023-07-01,1001,Catalina,Cross Country,3,5,19,14,14,0.7368421052631579,0.896
2023-08-01,1001,Catalina,Cross Country,3,8,4,-4,4,1.0,0.789
2023-09-01,1001,Catalina,Cross Country,3,8,7,-1,1,0.14285714285714285,0.783
2023-10-01,1001,Catalina,Cross Country,3,7,8,1,1,0.125,0.738
2023-11-01,1001,Catalina,Cross Country,3,6,1,-5,5,5.0,0.906
2023-12-01,1001,Catalina,Cross Country,3,4,0,-4,4,,0.735
2024-01-01,1001,Catalina,Cross Country,3,2,2,0,0,0.0,0.767
2024-02-01,1001,Catalina,Cross Country,3,1,2,1,1,0.5,1.0
2024-03-01,1001,Catalina,Cross Country,3,2,11,9,9,0.8181818181818182,1.5
2024-04-01,1001,Catalina,Cross Country,3,9,5,-4,4,0.8,1.714
2024-05-01,1001,Catalina,Cross Country,3,9,5,-4,4,0.8,1.473
2024-06-01,1001,Catalina,Cross Country,3,8,7,-1,1,0.14285714285714285,1.13
2024-07-01,1001,Catalina,Cross Country,3,5,6,1,1,0.16666666666666666,0.896
2024-08-01,1001,Catalina,Cross Country,3,5,3,-2,2,0.6666666666666666,0.789
2024-09-01,1001,Catalina,Cross Country,3,4,4,0,0,0.0,0.783
2024-10-01,1001,Catalina,Cross Country,3,3,1,-2,2,2.0,0.738
2024-11-01,1001,Catalina,Cross Country,3,2,12,10,10,0.8333333333333334,0.906
2024-12-01,1001,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.735
2025-01-01,1001,Catalina,Cross Country,3,4,2,-2,2,1.0,0.767
2025-02-01,1001,Catalina,Cross Country,3,6,7,1,1,0.14285714285714285,1.0
2025-03-01,1001,Catalina,Cross Country,3,6,6,0,0,0.0,1.5
2025-04-01,1001,Catalina,Cross Country,3,9,4,-5,5,1.25,1.714
2025-05-01,1001,Catalina,Cross Country,3,8,8,0,0,0.0,1.473
2025-06-01,1001,Catalina,Cross Country,3,7,7,0,0,0.0,1.13
2025-07-01,1001,Catalina,Cross Country,3,6,5,-1,1,0.2,0.896
2025-08-01,1001,Catalina,Cross Country,3,5,14,9,9,0.6428571428571429,0.789
2025-09-01,1001,Catalina,Cross Country,3,7,7,0,0,0.0,0.783
2025-10-01,1001,Catalina,Cross Country,3,6,6,0,0,0.0,0.738
2025-11-01,1001,Catalina,Cross Country,3,8,3,-5,5,1.6666666666666667,0.906
2025-12-01,1001,Catalina,Cross Country,3,4,5,1,1,0.2,0.735
2022-04-01,1002,Catalina,Cross Country,3,7,4,-3,3,0.75,1.714
2022-05-01,1002,Catalina,Cross Country,3,7,6,-1,1,0.16666666666666666,1.473
2022-06-01,1002,Catalina,Cross Country,3,7,1,-6,6,6.0,1.13
2022-07-01,1002,Catalina,Cross Country,3,3,9,6,6,0.6666666666666666,0.896
2022-08-01,1002,Catalina,Cross Country,3,4,2,-2,2,1.0,0.789
2022-09-01,1002,Catalina,Cross Country,3,3,4,1,1,0.25,0.783
2022-10-01,1002,Catalina,Cross Country,3,4,8,4,4,0.5,0.738
2022-11-01,1002,Catalina,Cross Country,3,4,4,0,0,0.0,0.906
2022-12-01,1002,Catalina,Cross Country,3,4,0,-4,4,,0.735
2023-01-01,1002,Catalina,Cross Country,3,3,1,-2,2,2.0,0.767
2023-02-01,1002,Catalina,Cross Country,3,2,2,0,0,0.0,1.0
2023-03-01,1002,Catalina,Cross Country,3,2,8,6,6,0.75,1.5
2023-04-01,1002,Catalina,Cross Country,3,6,13,7,7,0.5384615384615384,1.714
2023-05-01,1002,Catalina,Cross Country,3,11,8,-3,3,0.375,1.473
2023-06-01,1002,Catalina,Cross Country,3,11,11,0,0,0.0,1.13
2023-07-01,1002,Catalina,Cross Country,3,10,3,-7,7,2.3333333333333335,0.896
2023-08-01,1002,Catalina,Cross Country,3,6,1,-5,5,5.0,0.789
2023-09-01,1002,Catalina,Cross Country,3,4,4,0,0,0.0,0.783
2023-10-01,1002,Catalina,Cross Country,3,2,5,3,3,0.6,0.738
2023-11-01,1002,Catalina,Cross Country,3,3,14,11,11,0.7857142857142857,0.906
2023-12-01,1002,Catalina,Cross Country,3,6,4,-2,2,0.5,0.735
2024-01-01,1002,Catalina,Cross Country,3,6,3,-3,3,1.0,0.767
2024-02-01,1002,Catalina,Cross Country,3,7,4,-3,3,0.75,1.0
2024-03-01,1002,Catalina,Cross Country,3,6,0,-6,6,,1.5
2024-04-01,1002,Catalina,Cross Country,3,4,21,17,17,0.8095238095238095,1.714
2024-05-01,1002,Catalina,Cross Country,3,12,4,-8,8,2.0,1.473
2024-06-01,1002,Catalina,Cross Country,3,9,5,-4,4,0.8,1.13
2024-07-01,1002,Catalina,Cross Country,3,9,10,1,1,0.1,0.896
2024-08-01,1002,Catalina,Cross Country,3,5,5,0,0,0.0,0.789
2024-09-01,1002,Catalina,Cross Country,3,5,7,2,2,0.2857142857142857,0.783
2024-10-01,1002,Catalina,Cross Country,3,5,1,-4,4,4.0,0.738
2024-11-01,1002,Catalina,Cross Country,3,4,13,9,9,0.6923076923076923,0.906
2024-12-01,1002,Catalina,Cross Country,3,5,2,-3,3,1.5,0.735
2025-01-01,1002,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.767
2025-02-01,1002,Catalina,Cross Country,3,6,0,-6,6,,1.0
2025-03-01,1002,Catalina,Cross Country,3,2,6,4,4,0.6666666666666666,1.5
2025-04-01,1002,Catalina,Cross Country,3,5,0,-5,5,,1.714
2025-05-01,1002,Catalina,Cross Country,3,3,1,-2,2,2.0,1.473
2025-06-01,1002,Catalina,Cross Country,3,3,14,11,11,0.7857142857142857,1.13
2025-07-01,1002,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.896
2025-08-01,1002,Catalina,Cross Country,3,5,7,2,2,0.2857142857142857,0.789
2025-09-01,1002,Catalina,Cross Country,3,6,12,6,6,0.5,0.783
2025-10-01,1002,Catalina,Cross Country,3,5,0,-5,5,,0.738
2025-11-01,1002,Catalina,Cross Country,3,6,4,-2,2,0.5,0.906
2025-12-01,1002,Catalina,Cross Country,3,4,6,2,2,0.3333333333333333,0.735
2022-04-01,1003,Catalina,Cross Country,3,6,1,-5,5,5.0,1.714
2022-05-01,1003,Catalina,Cross Country,3,4,8,4,4,0.5,1.473
2022-06-01,1003,Catalina,Cross Country,3,5,6,1,1,0.16666666666666666,1.13
2022-07-01,1003,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.896
2022-08-01,1003,Catalina,Cross Country,3,4,5,1,1,0.2,0.789
2022-09-01,1003,Catalina,Cross Country,3,4,2,-2,2,1.0,0.783
2022-10-01,1003,Catalina,Cross Country,3,2,7,5,5,0.7142857142857143,0.738
2022-11-01,1003,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.906
2022-12-01,1003,Catalina,Cross Country,3,3,3,0,0,0.0,0.735
2023-01-01,1003,Catalina,Cross Country,3,3,1,-2,2,2.0,0.767
2023-02-01,1003,Catalina,Cross Country,3,2,0,-2,2,,1.0
2023-03-01,1003,Catalina,Cross Country,3,2,1,-1,1,1.0,1.5
2023-04-01,1003,Catalina,Cross Country,3,1,6,5,5,0.8333333333333334,1.714
2023-05-01,1003,Catalina,Cross Country,3,3,3,0,0,0.0,1.473
2023-06-01,1003,Catalina,Cross Country,3,4,14,10,10,0.7142857142857143,1.13
2023-07-01,1003,Catalina,Cross Country,3,7,5,-2,2,0.4,0.896
2023-08-01,1003,Catalina,Cross Country,3,6,13,7,7,0.5384615384615384,0.789
2023-09-01,1003,Catalina,Cross Country,3,8,3,-5,5,1.6666666666666667,0.783
2023-10-01,1003,Catalina,Cross Country,3,5,3,-2,2,0.6666666666666666,0.738
2023-11-01,1003,Catalina,Cross Country,3,6,10,4,4,0.4,0.906
2023-12-01,1003,Catalina,Cross Country,3,4,10,6,6,0.6,0.735
2024-01-01,1003,Catalina,Cross Country,3,6,1,-5,5,5.0,0.767
2024-02-01,1003,Catalina,Cross Country,3,7,6,-1,1,0.16666666666666666,1.0
2024-03-01,1003,Catalina,Cross Country,3,8,1,-7,7,7.0,1.5
2024-04-01,1003,Catalina,Cross Country,3,5,10,5,5,0.5,1.714
2024-05-01,1003,Catalina,Cross Country,3,8,14,6,6,0.42857142857142855,1.473
2024-06-01,1003,Catalina,Cross Country,3,9,10,1,1,0.1,1.13
2024-07-01,1003,Catalina,Cross Country,3,10,7,-3,3,0.42857142857142855,0.896
2024-08-01,1003,Catalina,Cross Country,3,8,1,-7,7,7.0,0.789
2024-09-01,1003,Catalina,Cross Country,3,5,4,-1,1,0.25,0.783
2024-10-01,1003,Catalina,Cross Country,3,3,2,-1,1,0.5,0.738
2024-11-01,1003,Catalina,Cross Country,3,2,1,-1,1,1.0,0.906
2024-12-01,1003,Catalina,Cross Country,3,2,0,-2,2,,0.735
2025-01-01,1003,Catalina,Cross Country,3,1,1,0,0,0.0,0.767
2025-02-01,1003,Catalina,Cross Country,3,1,1,0,0,0.0,1.0
2025-03-01,1003,Catalina,Cross Country,3,1,7,6,6,0.8571428571428571,1.5
2025-04-01,1003,Catalina,Cross Country,3,5,11,6,6,0.5454545454545454,1.714
2025-05-01,1003,Catalina,Cross Country,3,9,6,-3,3,0.5,1.473
2025-06-01,1003,Catalina,Cross Country,3,9,7,-2,2,0.2857142857142857,1.13
2025-07-01,1003,Catalina,Cross Country,3,7,2,-5,5,2.5,0.896
2025-08-01,1003,Catalina,Cross Country,3,4,0,-4,4,,0.789
2025-09-01,1003,Catalina,Cross Country,3,2,6,4,4,0.6666666666666666,0.783
2025-10-01,1003,Catalina,Cross Country,3,2,13,11,11,0.8461538461538461,0.738
2025-11-01,1003,Catalina,Cross Country,3,6,1,-5,5,5.0,0.906
2025-12-01,1003,Catalina,Cross Country,3,5,3,-2,2,0.6666666666666666,0.735
2022-04-01,1004,Catalina,Cross Country,3,6,7,1,1,0.14285714285714285,1.714
2022-05-01,1004,Catalina,Cross Country,3,8,10,2,2,0.2,1.473
2022-06-01,1004,Catalina,Cross Country,3,10,10,0,0,0.0,1.13
2022-07-01,1004,Catalina,Cross Country,3,8,2,-6,6,3.0,0.896
2022-08-01,1004,Catalina,Cross Country,3,6,11,5,5,0.45454545454545453,0.789
2022-09-01,1004,Catalina,Cross Country,3,6,4,-2,2,0.5,0.783
2022-10-01,1004,Catalina,Cross Country,3,4,9,5,5,0.5555555555555556,0.738
2022-11-01,1004,Catalina,Cross Country,3,7,7,0,0,0.0,0.906
2022-12-01,1004,Catalina,Cross Country,3,5,2,-3,3,1.5,0.735
2023-01-01,1004,Catalina,Cross Country,3,5,4,-1,1,0.25,0.767
2023-02-01,1004,Catalina,Cross Country,3,4,4,0,0,0.0,1.0
2023-03-01,1004,Catalina,Cross Country,3,5,4,-1,1,0.25,1.5
2023-04-01,1004,Catalina,Cross Country,3,7,7,0,0,0.0,1.714
2023-05-01,1004,Catalina,Cross Country,3,7,6,-1,1,0.16666666666666666,1.473
2023-06-01,1004,Catalina,Cross Country,3,6,7,1,1,0.14285714285714285,1.13
2023-07-01,1004,Catalina,Cross Country,3,6,3,-3,3,1.0,0.896
2023-08-01,1004,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.789
2023-09-01,1004,Catalina,Cross Country,3,3,14,11,11,0.7857142857142857,0.783
2023-10-01,1004,Catalina,Cross Country,3,5,8,3,3,0.375,0.738
2023-11-01,1004,Catalina,Cross Country,3,8,0,-8,8,,0.906
2023-12-01,1004,Catalina,Cross Country,3,5,0,-5,5,,0.735
2024-01-01,1004,Catalina,Cross Country,3,2,0,-2,2,,0.767
2024-02-01,1004,Catalina,Cross Country,3,0,0,0,0,,1.0
2024-03-01,1004,Catalina,Cross Country,3,0,2,2,2,1.0,1.5
2024-04-01,1004,Catalina,Cross Country,3,1,22,21,21,0.9545454545454546,1.714
2024-05-01,1004,Catalina,Cross Country,3,12,9,-3,3,0.3333333333333333,1.473
2024-06-01,1004,Catalina,Cross Country,3,12,3,-9,9,3.0,1.13
2024-07-01,1004,Catalina,Cross Country,3,10,9,-1,1,0.1111111111111111,0.896
2024-08-01,1004,Catalina,Cross Country,3,6,5,-1,1,0.2,0.789
2024-09-01,1004,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.783
2024-10-01,1004,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.738
2024-11-01,1004,Catalina,Cross Country,3,3,6,3,3,0.5,0.906
2024-12-01,1004,Catalina,Cross Country,3,3,0,-3,3,,0.735
2025-01-01,1004,Catalina,Cross Country,3,2,5,3,3,0.6,0.767
2025-02-01,1004,Catalina,Cross Country,3,4,5,1,1,0.2,1.0
2025-03-01,1004,Catalina,Cross Country,3,5,4,-1,1,0.25,1.5
2025-04-01,1004,Catalina,Cross Country,3,8,7,-1,1,0.14285714285714285,1.714
