purchase_order_id,product_id,supplier_id,supplier_name,order_date,expected_receipt_date,actual_receipt_date,lead_time_days,ordered_qty,received_qty,po_status
PO50000,1080,S001,Merida Industry,2022-01-05,2022-03-01,2022-03-01,55,64,64,Received
PO50001,1107,S001,Merida Industry,2022-01-10,2022-03-06,2022-03-06,55,61,61,Received
PO50002,1082,S001,Merida Industry,2022-01-12,2022-03-08,2022-03-08,55,61,61,Received
PO50003,1112,S001,Merida Industry,2022-01-13,2022-03-09,2022-03-09,55,61,61,Received
PO50004,1075,S001,Merida Industry,2022-01-14,2022-03-10,2022-03-10,55,61,61,Received
PO50005,1078,S001,Merida Industry,2022-01-14,2022-03-10,2022-03-10,55,60,60,Received
PO50006,1077,S001,Merida Industry,2022-01-17,2022-03-13,2022-03-13,55,60,60,Received
PO50007,1103,S001,Merida Industry,2022-01-17,2022-03-13,2022-03-13,55,61,61,Received
PO50008,1108,S001,Merida Industry,2022-01-17,2022-03-13,2022-03-13,55,60,60,Received
PO50009,1114,S001,Merida Industry,2022-01-17,2022-03-13,2022-03-13,55,65,65,Received
PO50010,1076,S001,Merida Industry,2022-01-18,2022-03-14,2022-03-14,55,61,61,Received
PO50011,1141,S001,Merida Industry,2022-01-18,2022-03-14,2022-03-14,55,66,66,Received
PO50012,1073,S001,Merida Industry,2022-01-19,2022-03-15,2022-03-15,55,60,60,Received
PO50013,1079,S001,Merida Industry,2022-01-19,2022-03-15,2022-03-15,55,67,67,Received
PO50014,1104,S001,Merida Industry,2022-01-19,2022-03-15,2022-03-15,55,61,61,Received
PO50015,1113,S001,Merida Industry,2022-01-19,2022-03-15,2022-03-15,55,61,61,Received
PO50016,1110,S001,Merida Industry,2022-01-20,2022-03-16,2022-03-16,55,61,61,Received
PO50017,1137,S001,Merida Industry,2022-01-20,2022-03-16,2022-03-16,55,61,61,Received
PO50018,1138,S001,Merida Industry,2022-01-20,2022-03-16,2022-03-16,55,63,63,Received
PO50019,1074,S001,Merida Industry,2022-01-21,2022-03-17,2022-03-17,55,64,64,Received
PO50020,1084,S001,Merida Industry,2022-01-21,2022-03-17,2022-03-17,55,64,64,Received
PO50021,1133,S001,Merida Industry,2022-01-21,2022-03-17,2022-03-17,55,60,60,Received
PO50022,1115,S001,Merida Industry,2022-01-22,2022-03-18,2022-03-18,55,60,60,Received
PO50023,1016,S001,Merida Industry,2022-01-24,2022-03-20,2022-03-20,55,62,62,Received
PO50024,1086,S001,Merida Industry,2022-01-24,2022-03-20,2022-03-20,55,60,60,Received
PO50025,1106,S001,Merida Industry,2022-01-24,2022-03-20,2022-03-20,55,62,62,Received
PO50026,1135,S001,Merida Industry,2022-01-24,2022-03-20,2022-03-20,55,62,62,Received
PO50027,1048,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,61,61,Received
PO50028,1081,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,62,62,Received
PO50029,1105,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,61,61,Received
PO50030,1109,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,60,60,Received
PO50031,1117,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,60,60,Received
PO50032,1134,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,62,62,Received
PO50033,1142,S001,Merida Industry,2022-01-25,2022-03-21,2022-03-21,55,65,65,Received
PO50034,1014,S001,Merida Industry,2022-01-26,2022-03-22,2022-03-22,55,60,60,Received
PO50035,1149,S001,Merida Industry,2022-01-26,2022-03-22,2022-03-22,55,60,60,Received
PO50036,1013,S001,Merida Industry,2022-01-27,2022-03-23,2022-03-23,55,61,61,Received
PO50037,1024,S001,Merida Industry,2022-01-27,2022-03-23,2022-03-23,55,61,61,Received
PO50038,1072,S001,Merida Industry,2022-01-27,2022-03-23,2022-03-23,55,60,60,Received
PO50039,1143,S001,Merida Industry,2022-01-27,2022-03-23,2022-03-23,55,60,60,Received
PO50040,1022,S001,Merida Industry,2022-01-28,2022-03-24,2022-03-24,55,61,61,Received
PO50041,1111,S001,Merida Industry,2022-01-30,2022-03-26,2022-03-26,55,61,61,Received
PO50042,1083,S001,Merida Industry,2022-01-31,2022-03-27,2022-03-27,55,65,65,Received
PO50043,1101,S001,Merida Industry,2022-02-01,2022-03-28,2022-03-28,55,60,60,Received
PO50044,1140,S001,Merida Industry,2022-02-01,2022-03-28,2022-03-28,55,65,65,Received
PO50045,1018,S001,Merida Industry,2022-02-02,2022-03-29,2022-03-29,55,63,63,Received
PO50046,1012,S001,Merida Industry,2022-02-03,2022-03-30,2022-03-30,55,60,60,Received
PO50047,1020,S001,Merida Industry,2022-02-03,2022-03-30,2022-03-30,55,62,62,Received
PO50048,1045,S001,Merida Industry,2022-02-03,2022-03-30,2022-03-30,55,60,60,Received
PO50049,1021,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,60,60,Received
PO50050,1070,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,61,61,Received
PO50051,1089,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,62,62,Received
PO50052,1102,S001,Merida Industry,2022-02-04,2022-03-31,2022-03-31,55,61,61,Received
PO50053,1144,S001,Merida Industry,2022-02-05,2022-04-01,2022-04-01,55,60,60,Received
PO50054,1023,S001,Merida Industry,2022-02-06,2022-04-02,2022-04-02,55,62,62,Received
PO50055,1085,S001,Merida Industry,2022-02-07,2022-04-03,2022-04-03,55,60,60,Received
PO50056,1100,S001,Merida Industry,2022-02-07,2022-04-03,2022-04-03,55,62,62,Received
PO50057,1116,S001,Merida Industry,2022-02-07,2022-04-03,2022-04-03,55,61,61,Received
PO50058,1019,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,62,62,Received
PO50059,1090,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,60,60,Received
PO50060,1099,S001,Merida Industry,2022-02-08,2022-04-04,2022-04-04,55,61,61,Received
PO50061,1010,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,61,61,Received
PO50062,1017,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,62,62,Received
PO50063,1052,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,61,61,Received
PO50064,1087,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,63,63,Received
PO50065,1127,S001,Merida Industry,2022-02-09,2022-04-05,2022-04-05,55,62,62,Received
PO50066,1071,S001,Merida Industry,2022-02-10,2022-04-06,2022-04-06,55,60,60,Received
PO50067,1088,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,61,61,Received
PO50068,1139,S001,Merida Industry,2022-02-11,2022-04-07,2022-04-07,55,62,62,Received
PO50069,1049,S001,Merida Industry,2022-02-12,2022-04-08,2022-04-08,55,64,64,Received
PO50070,1008,S001,Merida Industry,2022-02-14,2022-04-10,2022-04-10,55,60,60,Received
PO50071,1147,S001,Merida Industry,2022-02-14,2022-04-10,2022-04-10,55,63,63,Received
PO50072,1026,S001,Merida Industry,2022-02-15,2022-04-11,2022-04-11,55,60,60,Received
PO50073,1069,S001,Merida Industry,2022-02-15,2022-04-11,2022-04-11,55,60,60,Received
PO50074,1047,S001,Merida Industry,2022-02-16,2022-04-12,2022-04-12,55,61,61,Received
PO50075,1120,S001,Merida Industry,2022-02-16,2022-04-12,2022-04-12,55,61,61,Received
PO50076,1067,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,64,64,Received
PO50077,1097,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,60,60,Received
PO50078,1098,S001,Merida Industry,2022-02-17,2022-04-13,2022-04-13,55,62,62,Received
PO50079,1029,S001,Merida Industry,2022-02-18,2022-04-14,2022-04-14,55,60,60,Received
PO50080,1054,S001,Merida Industry,2022-02-18,2022-04-14,2022-04-14,55,60,60,Received
PO50081,1170,S001,Merida Industry,2022-02-18,2022-04-14,2022-04-14,55,63,63,Received
PO50082,1015,S001,Merida Industry,2022-02-19,2022-04-15,2022-04-15,55,60,60,Received
PO50083,1062,S001,Merida Industry,2022-02-22,2022-04-18,2022-04-18,55,64,64,Received
PO50084,1044,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,61,61,Received
PO50085,1068,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,60,60,Received
PO50086,1136,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,60,60,Received
PO50087,1166,S001,Merida Industry,2022-02-23,2022-04-19,2022-04-19,55,60,60,Received
PO50088,1145,S001,Merida Industry,2022-02-26,2022-04-22,2022-04-22,55,60,60,Received
PO50089,1042,S001,Merida Industry,2022-02-28,2022-04-24,2022-04-24,55,60,60,Received
PO50090,1130,S001,Merida Industry,2022-02-28,2022-04-24,2022-04-24,55,61,61,Received
PO50091,1146,S001,Merida Industry,2022-02-28,2022-04-24,2022-04-24,55,62,62,Received
PO50092,1011,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,61,61,Received
PO50093,1131,S001,Merida Industry,2022-03-01,2022-04-25,2022-04-25,55,63,63,Received
PO50094,1197,S002,Ideal Bike Corp,2022-03-01,2022-04-15,2022-04-15,45,62,62,Received
PO50095,1027,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,60,60,Received
PO50096,1118,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,60,60,Received
PO50097,1119,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,62,62,Received
PO50098,1162,S001,Merida Industry,2022-03-02,2022-04-26,2022-04-26,55,62,62,Received
PO50099,1132,S001,Merida Industry,2022-03-03,2022-04-27,2022-04-27,55,60,60,Received
PO50100,1171,S001,Merida Industry,2022-03-03,2022-04-27,2022-04-27,55,60,60,Received
PO50101,1059,S001,Merida Industry,2022-03-05,2022-04-29,2022-04-29,55,60,60,Received
PO50102,1129,S001,Merida Industry,2022-03-06,2022-04-30,2022-04-30,55,60,60,Received
