sales_order_id,order_date,customer_id,customer_name,sales_channel,order_status,payment_terms,warehouse,order_total
SO100000,2022-01-01,C0021,Rocky Peak Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,22160.45
SO100001,2022-01-01,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,13202.28
SO100002,2022-01-01,C0022,Wasatch Wheel Works,Dealer,Booked,Net 30,Phoenix Distribution Center,19588.28
SO100003,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,7499.0
SO100004,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,8098.0
SO100005,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100006,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100007,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100008,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100009,2022-01-01,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100010,2022-01-02,C0022,Wasatch Wheel Works,Dealer,Booked,Net 30,Phoenix Distribution Center,24919.66
SO100011,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100012,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100013,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100014,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100015,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,7499.0
SO100016,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,9198.0
SO100017,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100018,2022-01-02,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100019,2022-01-03,C0035,Adirondack Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,11957.4
SO100020,2022-01-03,C0017,Bay Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,19340.28
SO100021,2022-01-03,C0018,High Country Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,44999.3
SO100022,2022-01-03,C0003,Cactus Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,20021.04
SO100023,2022-01-03,C0013,Pacific Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,24414.52
